Leman 23, 18-525 Leman, Polska;Leman 22, 18-525 Leman, Polska;Leman 53, 18-525 Leman, Polska;Leman 12, 18-525 Leman, Polska;Leman 27, 18-525 Leman, Polska;Nowa Ruda 43, 18-525 Nowa Ruda, Polska;Ksebki 49A, 18-525 Ksebki, Polska;Ksebki 95, 18-525 Ksebki, Polska;Leman 103, 18-525 Leman, Polska;Łacha 17, 18-525 Łacha, Polska;Zimna 30, 18-525 Zimna, Polska;Zimna 29, 18-525 Zimna, Polska;Zimna 42, 18-525 Zimna, Polska;Zimna 18, 18-525 Zimna, Polska;Zimna 6, 18-525 Zimna, Polska;Zimna 43, 18-525 Zimna, Polska;Zimna 19, 18-525 Zimna, Polska;Unnamed Road, 18-525 Zimna, Polska;Szablaki 24, 18-525 Szablaki, Polska;Szablaki 31, 18-525 Szablaki, Polska;Łacha 20, 18-525 Łacha, Polska;Łacha 26, 18-525 Łacha, Polska;Kolonia Dukat 4, 18-416 Zbójna, Polska
0;786;2269;1357;565;8930;9936;10345;3790;7728;6636;6416;7411;5002;4594;6139;5064;3860;9915;9080;7420;8834;44354
786;0;1950;1037;880;9463;9616;10026;3470;7409;6316;6096;7091;4683;4274;5819;4744;4393;10447;9613;7100;8515;40765
2269;1950;0;1861;2364;10412;7667;8076;1521;5459;4367;4147;5142;2733;2324;3870;2795;4522;11397;10562;5151;6565;38816
1357;1037;1861;0;1968;10034;9528;9937;3381;7320;6228;6008;7003;4594;4185;5731;4656;6383;11018;10184;7012;8426;40677
565;880;2364;1968;0;9113;4293;6056;3884;7823;6731;6511;7506;5097;4688;6234;5159;4043;10097;9263;7515;8929;44536
8930;9463;10412;10034;9113;0;9123;10887;11470;12644;13135;13355;13394;12683;12274;13820;12745;11455;8038;8827;11480;11287;36129
10022;9616;7667;9528;4293;9123;0;2261;7312;12173;11081;10861;11856;9447;9039;10584;9509;11236;16355;15152;11865;13279;33952
10432;10026;8076;9937;6056;10887;2261;0;7722;12583;11490;11270;12265;9857;9448;10993;9918;11646;18118;16915;12274;13689;32380
3876;3470;1521;3381;3884;11470;7312;7722;0;6027;4935;4715;5710;3301;2892;4438;3363;5090;15917;11620;5719;7133;38462
7815;7409;5459;7320;7823;12644;12173;12583;6027;0;2715;2935;1475;2833;3126;2116;2894;2228;11363;9443;1164;2579;43323
6722;6316;4367;6228;6731;13135;11081;11490;4935;2715;0;220;2344;1740;2034;2271;1801;2923;11854;9934;1655;3070;42230
6502;6096;4147;6008;6511;13355;10861;11270;4715;2935;220;0;2563;1520;1814;2051;1582;2703;12073;10154;1875;3290;42010
7497;7091;5142;7003;7506;13394;11856;12265;5710;1475;2344;2563;0;2515;2809;1214;2577;1326;12112;10193;1914;3329;43005
5089;4683;2733;4594;5097;12683;9447;9857;3301;2833;1740;1520;2515;0;400;1243;62;1896;12722;10803;2524;3939;40597
4680;4274;2324;4185;4688;12274;9039;9448;2892;3126;2034;1814;2809;400;0;1537;462;2189;13016;11096;2818;4232;40188
4513;5819;3870;5731;4695;14534;10584;10993;4438;2116;2271;2051;1214;1243;1537;0;1305;652;13253;11333;3055;4469;41733
5150;4744;2795;4656;5159;12745;9509;9918;3363;2894;1801;1582;2577;62;462;1305;0;1957;12784;10864;2586;4000;40658
3860;4393;4522;4964;4043;11455;11236;11646;5090;2228;2923;2703;1326;1896;2189;652;1957;0;13905;11986;3707;5122;42386
9915;10447;11397;11018;10097;8038;16355;18118;12455;11363;11854;12073;12112;12722;13016;13253;12784;13905;0;1826;10198;10006;43133
9080;9613;10562;10184;9263;8827;15152;16915;11620;9443;9934;10154;10193;10803;11096;11333;10864;11986;1825;0;8279;8086;43923
7506;7100;5151;7012;7515;11480;11865;12274;5719;1164;1655;1875;1914;2524;2818;3055;2586;3707;10198;8279;0;1415;43014
8921;8515;6565;8426;8929;11287;13279;13689;7133;2579;3070;3290;3329;3939;4232;4469;4000;5122;10006;8086;1415;0;44428
41171;40765;38816;40677;37748;36129;33952;32380;38462;43323;42230;42010;43005;40597;40188;41733;40658;42386;43133;43923;43014;44428;0
