Zabiele 17, 18-520 Zabiele, Polska;Zabiele 14, 18-520 Zabiele, Polska;Stary Gromadzyn 41 A, 18-500 Stary Gromadzyn, Polska;Tyszki-Łabno 19, 18-500 Tyszki-Łabno, Polska;Gromadzyn-Wykno 8, 18-500 Gromadzyn-Wykno, Polska;Obiedzino 20, 18-500 Obiedzino, Polska;Obiedzino 6, 18-500 Obiedzino, Polska;Pachuczyn 4, 18-500 Pachuczyn, Polska;Czerwone 92, 18-500 Czerwone, Polska;Czerwone 136, 18-500 Czerwone, Polska;Czerwone 59, 18-500 Czerwone, Polska;Czerwone 137, 18-500 Czerwone, Polska;Brzozowo 13, 18-500 Brzozowo, Polska;Unnamed Road, 18-500, Polska;Górskie 5, 18-500 Górskie, Polska;Brzózki 18, 18-500 Brzózki, Polska;Brzozowo 11A, 18-500 Brzozowo, Polska;Brzozowo 3, 18-500 Brzozowo, Polska;Danowo 19, 18-500 Danowo, Polska;Borkowo 99, 18-500 Borkowo, Polska;Borkowo 8A, 18-500 Borkowo, Polska;Janowo 25, 18-500 Janowo, Polska;Janowo 53, 18-500 Janowo, Polska;Janowo 98, 18-500 Janowo, Polska;Janowo 8, 18-500 Janowo, Polska;Janowo 63, 18-500 Janowo, Polska
0;176;20306;19639;17474;14800;13677;14572;24136;26169;23973;26244;28996;25017;24971;30018;28969;28878;23217;21152;20451;27866;25678;30850;28166;27544
176;0;20482;19815;17650;14976;13853;14748;24312;26345;24149;26420;29172;25193;25147;30194;29146;29054;23393;21328;20627;28042;25854;31026;28342;27720
21098;21275;0;4482;3500;6690;7693;5734;7370;9404;7207;9478;10423;4418;5128;11444;10396;10305;10286;9546;9782;11839;13672;14823;12139;11517
17866;18043;4482;0;2833;5877;5792;5067;8312;10346;8149;10420;15631;9193;10336;16652;15604;15513;10565;9749;9985;12042;13875;15026;12342;11720
18266;18443;3500;2833;0;3858;4861;2902;7330;9364;7168;9438;14649;8211;9354;15670;14622;14531;12899;8767;9003;11060;12893;14044;11360;10738
15593;15769;6690;6023;3858;0;630;2470;10520;12553;10357;12628;17839;11401;12543;18860;17812;17721;10501;11957;12193;14250;16083;17234;14550;13928
15082;15258;7693;7027;4861;630;0;1960;11524;13557;11361;13631;18842;12405;13547;19864;18816;18725;10417;8375;13197;15254;17087;18238;15553;14932
15364;15541;5734;5067;2902;1832;1960;0;9564;11598;9401;11672;16883;10445;11588;17904;16856;16765;15133;11001;11237;13294;15127;16278;13594;12972
24928;25104;7158;8311;7329;10519;11523;9563;0;2033;1059;2108;10421;8555;9992;11442;10394;10303;14606;9672;9908;11965;13797;14948;12264;11643
26961;27137;9192;10345;9363;12553;13556;11597;2033;0;3093;74;12454;10588;12026;13476;12428;12336;16639;11705;11941;13998;15831;16982;14298;13676
24765;24941;6996;8149;7167;10357;11360;9401;1059;3093;0;3167;9464;7599;9036;10486;9438;9346;13649;9509;9745;11802;13635;14786;12102;11480
27036;27212;9266;10419;9437;12627;13631;11671;2108;74;3167;0;12528;10663;12100;13550;12502;12411;16713;11779;12015;14072;15905;17056;14372;13750
25664;25840;10923;16131;15149;16280;16196;17383;10421;12454;9464;12528;0;4904;5940;1022;27;203;8349;18870;19106;21163;22996;24147;21463;20841
26242;26418;4418;9626;8644;11834;12837;10878;8555;10588;7599;10663;4904;0;4476;5926;4878;4786;9089;11135;11371;13428;15261;16412;13728;13106
21639;21815;5128;10336;9354;12543;13547;11588;9992;12026;9036;12100;5940;4476;0;6962;5914;5822;5080;12830;13066;15123;16956;18107;15423;14801
26685;26861;11945;17153;16171;17302;17217;18405;11442;13476;10486;13550;1022;5926;6962;0;1048;1225;5780;19892;20128;22185;24018;25169;22484;21863
25637;25813;10897;16105;15123;16254;16169;17357;10394;12428;9438;12502;27;4878;5914;1048;0;177;8323;18844;19080;21137;22970;24121;21436;20815
25546;25722;10805;16013;15032;16162;16078;17266;10303;12336;9346;12411;203;4786;5822;1225;177;0;5271;18752;18988;21046;22878;24029;21345;20723
19885;20061;10286;10565;12899;10501;10417;15133;14606;16639;13649;16713;8349;9089;5090;5780;8323;5271;0;18945;19181;21238;23071;24222;21538;20916
21341;21518;9546;9749;8767;11957;8375;11001;9672;11706;9510;11780;18871;11137;12941;19893;18844;18753;18945;0;990;6216;8049;9200;6516;5894
20640;20817;9782;9985;9003;12193;13197;11237;9908;11942;9746;12016;19107;11373;13177;20129;19080;18989;19181;990;0;6452;8285;9436;6752;6130
26804;26980;11839;12042;11060;14250;15254;13294;11965;13999;11803;14073;21164;13430;15234;22186;21137;21046;21238;6216;6452;0;1947;4210;414;322
25867;26043;13672;13875;12893;16083;17087;15127;13798;15832;13636;15906;22997;15263;17067;24018;22970;22879;23071;8049;8285;1947;0;6157;1533;2155
29788;29964;14823;15026;14044;17234;18238;16278;14949;16983;14787;17057;24148;16414;18218;25169;24121;24030;24222;9200;9436;4210;6426;0;4893;4272
27103;27279;12139;12342;11360;14550;15553;13594;12265;14298;12102;14373;21464;13730;15533;22485;21437;21346;21538;6516;6752;414;1533;4624;0;622
26482;26658;11517;11720;10738;13928;14932;12972;11643;13677;11481;13751;20842;13108;14912;21864;20815;20724;20916;5894;6130;322;2155;4532;622;0
